,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,130,0.0945,0.9684,2.6759,0.4794,checkpoint_0130.pth,0.0009106827194188178
0,131,0.0936,0.9666,3.0014,0.4091,checkpoint_0131.pth,0.000906384812034551
0,132,0.1089,0.9616,2.6007,0.4157,checkpoint_0132.pth,0.0009019965609322996
0,133,0.1048,0.963,3.0742,0.3571,checkpoint_0133.pth,0.0008975189416723193
0,134,0.0934,0.9694,3.1537,0.3857,checkpoint_0134.pth,0.000892952949682467
0,135,0.0886,0.9667,3.5803,0.3458,checkpoint_0135.pth,0.0008882996000369056
0,136,0.0938,0.9667,2.5688,0.4845,checkpoint_0136.pth,0.0008835599272304402
0,137,0.0891,0.9658,2.4823,0.5258,checkpoint_0137.pth,0.0008787349849485389
0,138,0.0989,0.9664,2.6639,0.4911,checkpoint_0138.pth,0.0008738258458330846
0,139,0.0824,0.9706,2.8058,0.4705,checkpoint_0139.pth,0.0008688336012439152
0,140,0.0813,0.9692,4.5373,0.276,checkpoint_0140.pth,0.0008637593610162005
0,141,0.0868,0.9675,3.6391,0.3627,checkpoint_0141.pth,0.0008586042532137134
0,142,0.0878,0.9692,3.3667,0.3946,checkpoint_0142.pth,0.0008533694238780472
0,143,0.0883,0.9702,4.1896,0.3524,checkpoint_0143.pth,0.0008480560367738379
0,144,0.0761,0.9725,3.4412,0.3763,checkpoint_0144.pth,0.0008426652731300444
0,145,0.0743,0.9742,3.0324,0.425,checkpoint_0145.pth,0.0008371983313773486
0,146,0.0768,0.9731,3.4562,0.4217,checkpoint_0146.pth,0.0008316564268817282
0,147,0.0766,0.9719,4.322,0.2559,checkpoint_0147.pth,0.0008260407916742687
0,148,0.0813,0.9702,3.569,0.3871,checkpoint_0148.pth,0.0008203526741772667
0,149,0.0798,0.9738,2.9215,0.4405,checkpoint_0149.pth,0.0008145933389266909
0,150,0.0795,0.9717,5.7002,0.2399,checkpoint_0150.pth,0.0008087640662910616
0,151,0.077,0.9731,3.9011,0.3641,checkpoint_0151.pth,0.0008028661521868092
0,152,0.0819,0.9712,2.8263,0.4958,checkpoint_0152.pth,0.000796900907790176
0,153,0.079,0.9706,3.4875,0.2887,checkpoint_0153.pth,0.0007908696592457269
0,154,0.081,0.9731,4.4442,0.2718,checkpoint_0154.pth,0.0007847737473715319
0,155,0.0737,0.9744,2.6213,0.5023,checkpoint_0155.pth,0.0007786145273610853
0,156,0.0731,0.9748,3.3375,0.3946,checkpoint_0156.pth,0.0007723933684820317
0,157,0.0737,0.9727,2.2407,0.4967,checkpoint_0157.pth,0.0007661116537717596
0,158,0.0612,0.9755,3.2928,0.3983,checkpoint_0158.pth,0.0007597707797299377
0,159,0.0535,0.982,3.4348,0.3871,checkpoint_0159.pth,0.0007533721560080553
0,160,0.0657,0.9758,3.2967,0.3571,checkpoint_0160.pth,0.0007469172050960402
0,161,0.047,0.982,3.4804,0.4063,checkpoint_0161.pth,0.0007404073620060229
0,162,0.0535,0.9802,4.0795,0.3271,checkpoint_0162.pth,0.0007338440739533156
0,163,0.0578,0.9797,4.2924,0.3112,checkpoint_0163.pth,0.0007272288000346794
0,164,0.0586,0.978,3.6019,0.3533,checkpoint_0164.pth,0.0007205630109039503
0,165,0.0678,0.9766,3.7044,0.3894,checkpoint_0165.pth,0.0007138481884450948
0,166,0.0599,0.9786,3.6098,0.3543,checkpoint_0166.pth,0.0007070858254427692
0,167,0.0625,0.9767,3.2958,0.4086,checkpoint_0167.pth,0.0007002774252504568
0,168,0.0442,0.9827,2.7947,0.5267,checkpoint_0168.pth,0.0006934245014562544
0,169,0.0531,0.9797,3.4722,0.4325,checkpoint_0169.pth,0.0006865285775463828
0,170,0.054,0.9797,2.8928,0.4869,checkpoint_0170.pth,0.0006795911865664989
0,171,0.0554,0.9811,3.3603,0.4386,checkpoint_0171.pth,0.0006726138707808805
0,172,0.0528,0.9802,3.6005,0.3575,checkpoint_0172.pth,0.0006655981813295639
0,173,0.0563,0.9784,3.418,0.3561,checkpoint_0173.pth,0.0006585456778835054
0,174,0.0453,0.9816,3.0697,0.4128,checkpoint_0174.pth,0.0006514579282978495
0,175,0.0414,0.9848,3.9644,0.3182,checkpoint_0175.pth,0.0006443365082633755
0,176,0.0525,0.9798,3.9982,0.3763,checkpoint_0176.pth,0.0006371830009562024
0,177,0.0506,0.9814,4.4131,0.3041,checkpoint_0177.pth,0.0006299989966858303
0,178,0.0474,0.9828,3.0158,0.4213,checkpoint_0178.pth,0.0006227860925415966
0,179,0.0607,0.9772,3.1981,0.403,checkpoint_0179.pth,0.0006155458920376226
0,180,0.0465,0.9842,3.3952,0.4067,checkpoint_0180.pth,0.0006082800047563341
0,181,0.0416,0.9848,4.1638,0.3739,checkpoint_0181.pth,0.0006009900459906329
0,182,0.0406,0.9855,3.887,0.4157,checkpoint_0182.pth,0.0005936776363847957
0,183,0.0404,0.9836,3.6106,0.4236,checkpoint_0183.pth,0.000586344401574189
0,184,0.0482,0.9833,3.257,0.3997,checkpoint_0184.pth,0.000578991971823868
0,185,0.0431,0.9844,3.6724,0.3857,checkpoint_0185.pth,0.0005716219816661508
0,186,0.0347,0.9875,3.7282,0.4147,checkpoint_0186.pth,0.000564236069537243
0,187,0.0418,0.9852,3.2311,0.4925,checkpoint_0187.pth,0.0005568358774129921
0,188,0.0431,0.9838,3.2439,0.4321,checkpoint_0188.pth,0.0005494230504438588
0,189,0.0313,0.988,4.03,0.3529,checkpoint_0189.pth,0.0005419992365891791
0,190,0.0366,0.9856,4.0125,0.3346,checkpoint_0190.pth,0.0005345660862508042
0,191,0.0388,0.9855,3.4988,0.4096,checkpoint_0191.pth,0.0005271252519061966
0,192,0.0389,0.9852,3.7373,0.373,checkpoint_0192.pth,0.0005196783877410638
0,193,0.0359,0.9862,3.1887,0.4292,checkpoint_0193.pth,0.0005122271492816145
0,194,0.0325,0.9875,3.6363,0.4292,checkpoint_0194.pth,0.0005047731930265146
0,195,0.0347,0.9873,3.875,0.3889,checkpoint_0195.pth,0.0004973181760786282
0,196,0.0355,0.9862,3.3466,0.4053,checkpoint_0196.pth,0.0004898637557766244
0,197,0.0335,0.9873,4.2965,0.3627,checkpoint_0197.pth,0.0004824115893265303
0,198,0.037,0.9859,3.1516,0.4738,checkpoint_0198.pth,0.000474963333433315
0,199,0.0342,0.9877,3.1813,0.4738,checkpoint_0199.pth,0.00046752064393258485
0,200,0.0344,0.9872,3.5042,0.411,checkpoint_0200.pth,0.0004600851754224712
0,201,0.0265,0.9894,3.3681,0.4705,checkpoint_0201.pth,0.00045265858089579294
0,202,0.0349,0.9883,4.1144,0.3646,checkpoint_0202.pth,0.00044524251137257763
0,203,0.0294,0.9886,2.9779,0.4841,checkpoint_0203.pth,0.00043783861553301997
0,204,0.0263,0.9906,3.3914,0.4616,checkpoint_0204.pth,0.00043044853935095983
0,205,0.0265,0.9909,3.5649,0.4391,checkpoint_0205.pth,0.0004230739257279637
0,206,0.0302,0.9884,3.0934,0.4709,checkpoint_0206.pth,0.00041571641412808805
0,207,0.0302,0.9886,3.0689,0.4803,checkpoint_0207.pth,0.0004083776402134065
0,208,0.0268,0.9889,3.6869,0.3997,checkpoint_0208.pth,0.0004010592354803829
0,209,0.0292,0.9877,3.5098,0.4049,checkpoint_0209.pth,0.00039376282689717104
0,210,0.0262,0.9888,3.9897,0.3444,checkpoint_0210.pth,0.00038649003654191936
0,211,0.0201,0.9916,4.4023,0.3065,checkpoint_0211.pth,0.0003792424812421641
0,212,0.0215,0.992,4.6182,0.3004,checkpoint_0212.pth,0.0003720217722153896
0,213,0.0224,0.9908,3.7071,0.3871,checkpoint_0213.pth,0.0003648295147108356
0,214,0.0175,0.9925,3.5614,0.4128,checkpoint_0214.pth,0.0003576673076526308
0,215,0.021,0.99,3.339,0.456,checkpoint_0215.pth,0.000350536743284333
0,216,0.0248,0.9884,3.0989,0.4508,checkpoint_0216.pth,0.00034343940681495555
0,217,0.0227,0.99,3.3854,0.4452,checkpoint_0217.pth,0.0003363768760665553
0,218,0.0237,0.9902,4.1657,0.3679,checkpoint_0218.pth,0.00032935072112346504
0,219,0.0192,0.9927,3.6729,0.3997,checkpoint_0219.pth,0.00032236250398324427
0,220,0.0167,0.9928,3.7704,0.4035,checkpoint_0220.pth,0.00031541377820942904
0,221,0.0207,0.9906,3.3048,0.4522,checkpoint_0221.pth,0.0003085060885861571
0,222,0.0239,0.9902,3.5054,0.4503,checkpoint_0222.pth,0.0003016409707747421
0,223,0.0208,0.9919,3.3366,0.4658,checkpoint_0223.pth,0.0002948199509722803
0,224,0.0192,0.992,4.009,0.3903,checkpoint_0224.pth,0.0002880445455723568
0,225,0.0229,0.9903,3.7977,0.4011,checkpoint_0225.pth,0.00028131626082793476
0,226,0.0246,0.9894,3.337,0.4756,checkpoint_0226.pth,0.00027463659251649635
0,227,0.0216,0.99,3.5781,0.4452,checkpoint_0227.pth,0.00026800702560751455
0,228,0.016,0.9931,4.3579,0.3646,checkpoint_0228.pth,0.0002614290339323262
0,229,0.0204,0.9903,3.7329,0.4302,checkpoint_0229.pth,0.0002549040798564823
0,230,0.0155,0.9927,3.5996,0.4499,checkpoint_0230.pth,0.0002484336139546465
0,231,0.0178,0.9912,3.6052,0.448,checkpoint_0231.pth,0.0002420190746881151
0,232,0.0169,0.9925,3.5837,0.4381,checkpoint_0232.pth,0.00023566188808503088
0,233,0.0165,0.9928,3.714,0.4442,checkpoint_0233.pth,0.00022936346742335833
0,234,0.0153,0.9931,3.5172,0.4639,checkpoint_0234.pth,0.00022312521291669734
0,235,0.0205,0.9922,3.9397,0.411,checkpoint_0235.pth,0.00021694851140299776
0,236,0.0176,0.9928,3.2747,0.4625,checkpoint_0236.pth,0.00021083473603624857
0,237,0.0146,0.9939,3.682,0.4414,checkpoint_0237.pth,0.00020478524598121123
0,238,0.0162,0.9927,3.8241,0.4213,checkpoint_0238.pth,0.00019880138611125942
0,239,0.0115,0.9956,3.6998,0.4447,checkpoint_0239.pth,0.00019288448670939847
0,240,0.0103,0.995,3.686,0.4555,checkpoint_0240.pth,0.00018703586317252779
0,241,0.0125,0.9939,3.517,0.4517,checkpoint_0241.pth,0.00018125681571901236
0,242,0.0164,0.9928,3.6145,0.4391,checkpoint_0242.pth,0.0001755486290996286
0,243,0.0137,0.9936,3.452,0.4456,checkpoint_0243.pth,0.00016991257231194998
0,244,0.0138,0.9944,3.6412,0.4274,checkpoint_0244.pth,0.00016434989831823192
0,245,0.0128,0.9938,3.9951,0.3852,checkpoint_0245.pth,0.0001588618437668652
0,246,0.0139,0.9941,4.2178,0.3913,checkpoint_0246.pth,0.00015344962871745416
0,247,0.012,0.9945,3.9942,0.4185,checkpoint_0247.pth,0.00014811445636958172
0,248,0.0124,0.9941,4.1668,0.4011,checkpoint_0248.pth,0.0001428575127953249
0,249,0.0112,0.9939,4.1138,0.411,checkpoint_0249.pth,0.00013767996667557724
0,250,0.0122,0.9944,4.4038,0.3936,checkpoint_0250.pth,0.00013258296904023628
0,251,0.0135,0.9933,3.6948,0.4372,checkpoint_0251.pth,0.00012756765301231583
0,252,0.0115,0.9947,4.0861,0.4142,checkpoint_0252.pth,0.0001226351335560408
0,253,0.0141,0.9942,3.8961,0.4222,checkpoint_0253.pth,0.00011778650722897585
0,254,0.0137,0.9941,3.8821,0.4161,checkpoint_0254.pth,0.00011302285193824788
0,255,0.0101,0.9948,3.9966,0.3946,checkpoint_0255.pth,0.00010834522670091568
0,256,0.0141,0.9942,4.1822,0.3828,checkpoint_0256.pth,0.00010375467140853644
0,257,0.0116,0.9941,4.1731,0.3702,checkpoint_0257.pth,9.925220659598619e-05
0,258,0.0145,0.9938,4.2183,0.3739,checkpoint_0258.pth,9.483883321458286e-05
0,259,0.0098,0.9953,4.1236,0.3932,checkpoint_0259.pth,9.05155324095627e-05
0,260,0.0087,0.9959,4.0052,0.4086,checkpoint_0260.pth,8.628326530196014e-05
0,261,0.0093,0.9952,3.9223,0.4152,checkpoint_0261.pth,8.214297277493926e-05
0,262,0.011,0.9944,4.0628,0.403,checkpoint_0262.pth,7.809557526462419e-05
0,263,0.0098,0.9948,3.8217,0.4241,checkpoint_0263.pth,7.414197255547532e-05
0,264,0.009,0.9944,3.8184,0.4349,checkpoint_0264.pth,7.028304358025674e-05
0,265,0.0108,0.9948,3.8684,0.4255,checkpoint_0265.pth,6.65196462246383e-05
0,266,0.0104,0.9948,3.8665,0.4358,checkpoint_0266.pth,6.285261713647868e-05
0,267,0.0086,0.9945,3.8203,0.4321,checkpoint_0267.pth,5.928277153982748e-05
0,268,0.0088,0.9953,3.7849,0.4461,checkpoint_0268.pth,5.58109030536919e-05
