,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,91,0.1226,0.9559,1.1404,0.7287,checkpoint_0091.pth,0.0009998369853049152
0,92,0.1453,0.9515,0.9768,0.7342,checkpoint_0092.pth,0.0009995910785438695
0,93,0.1203,0.9557,0.9926,0.7263,checkpoint_0093.pth,0.0009992341072065584
0,94,0.1083,0.9634,1.0285,0.7279,checkpoint_0094.pth,0.000998766150651943
0,95,0.1025,0.9656,1.0156,0.7326,checkpoint_0095.pth,0.000998187312912315
0,96,0.1026,0.9652,1.1733,0.7224,checkpoint_0096.pth,0.0009974977226701672
0,97,0.1113,0.9579,1.2137,0.7161,checkpoint_0097.pth,0.0009966975332295878
0,98,0.1144,0.9565,1.1284,0.7027,checkpoint_0098.pth,0.000995786922482178
0,99,0.1057,0.963,1.0737,0.7287,checkpoint_0099.pth,0.0009947660928675047
0,100,0.0833,0.9688,1.1825,0.724,checkpoint_0100.pth,0.0009936352713280966
0,101,0.0959,0.963,1.2045,0.7192,checkpoint_0101.pth,0.0009923947092589907
0,102,0.1172,0.9567,1.045,0.7358,checkpoint_0102.pth,0.0009910446824518459
0,103,0.094,0.9656,1.1355,0.7192,checkpoint_0103.pth,0.0009895854910336298
0,104,0.0943,0.967,1.0646,0.623,checkpoint_0104.pth,0.0009880174593998978
0,105,0.1535,0.9452,1.2294,0.7232,checkpoint_0105.pth,0.0009863409361426756
0,106,0.0929,0.9678,1.2366,0.7106,checkpoint_0106.pth,0.0009845562939729635
0,107,0.1491,0.946,1.2004,0.7137,checkpoint_0107.pth,0.000982663929637878
0,108,0.0973,0.9636,1.103,0.7287,checkpoint_0108.pth,0.0009806642638324503
0,109,0.1052,0.9616,2.1886,0.5702,checkpoint_0109.pth,0.000978557741106101
0,110,0.1847,0.9345,1.1996,0.6301,checkpoint_0110.pth,0.0009763448297638111
0,111,0.1828,0.9328,1.1707,0.7058,checkpoint_0111.pth,0.0009740260217620127
0,112,0.1257,0.9551,1.1948,0.7074,checkpoint_0112.pth,0.0009716018325992209
0,113,0.1052,0.961,1.049,0.7129,checkpoint_0113.pth,0.0009690728012014326
0,114,0.084,0.9699,1.2281,0.7224,checkpoint_0114.pth,0.0009664394898023165
0,115,0.0815,0.9721,1.1782,0.7177,checkpoint_0115.pth,0.0009637024838182226
0,116,0.0697,0.9729,1.2551,0.7177,checkpoint_0116.pth,0.0009608623917180359
0,117,0.0903,0.968,1.223,0.7334,checkpoint_0117.pth,0.0009579198448879086
0,118,0.1607,0.9415,1.2355,0.7177,checkpoint_0118.pth,0.0009548754974908932
0,119,0.0898,0.9682,1.2063,0.7271,checkpoint_0119.pth,0.0009517300263215158
0,120,0.0788,0.9729,1.1894,0.7295,checkpoint_0120.pth,0.0009484841306553166
0,121,0.0857,0.9697,1.0938,0.7468,checkpoint_0121.pth,0.0009451385320933915
0,122,0.0898,0.9695,1.2288,0.7114,checkpoint_0122.pth,0.0009416939744019729
0,123,0.0888,0.9674,1.0896,0.7334,checkpoint_0123.pth,0.000938151223347081
0,124,0.0588,0.9794,1.093,0.735,checkpoint_0124.pth,0.0009345110665242851
0,125,0.0795,0.9727,1.2371,0.7311,checkpoint_0125.pth,0.0009307743131836116
0,126,0.0708,0.9771,1.2588,0.7216,checkpoint_0126.pth,0.0009269417940496386
0,127,0.0632,0.9777,1.2499,0.7248,checkpoint_0127.pth,0.0009230143611368153
0,128,0.078,0.9707,1.2991,0.7082,checkpoint_0128.pth,0.0009189928875600499
0,129,0.067,0.9767,1.1457,0.7342,checkpoint_0129.pth,0.0009148782673406041
0,130,0.0627,0.9765,1.3921,0.7098,checkpoint_0130.pth,0.0009106714152073446
0,131,0.0768,0.9721,1.177,0.7287,checkpoint_0131.pth,0.0009063732663933847
0,132,0.0731,0.9747,1.1928,0.7429,checkpoint_0132.pth,0.0009019847764281732
0,133,0.0736,0.9745,1.1336,0.7374,checkpoint_0133.pth,0.000897506920925068
0,134,0.067,0.9773,1.1859,0.7374,checkpoint_0134.pth,0.0008929406953644454
0,135,0.0841,0.9678,1.2823,0.7185,checkpoint_0135.pth,0.0008882871148723938
0,136,0.0813,0.9727,1.163,0.7263,checkpoint_0136.pth,0.0008835472139950385
0,137,0.0722,0.9741,1.2425,0.7224,checkpoint_0137.pth,0.0008787220464685501
0,138,0.0686,0.9763,1.2756,0.7216,checkpoint_0138.pth,0.0008738126849848864
0,139,0.0723,0.9733,1.2486,0.7066,checkpoint_0139.pth,0.0008688202209533201
0,140,0.0681,0.9737,1.2595,0.7216,checkpoint_0140.pth,0.0008637457642578057
0,141,0.0818,0.9727,1.1678,0.7058,checkpoint_0141.pth,0.0008585904430102396
0,142,0.0649,0.9773,1.2139,0.7216,checkpoint_0142.pth,0.0008533554032996663
0,143,0.0574,0.9786,1.1163,0.7287,checkpoint_0143.pth,0.0008480418089374908
0,144,0.0518,0.9828,1.2309,0.7271,checkpoint_0144.pth,0.000842650841198748
0,145,0.0677,0.9775,1.1981,0.739,checkpoint_0145.pth,0.000837183698559492
0,146,0.0607,0.9796,1.4,0.7106,checkpoint_0146.pth,0.0008316415964303608
0,147,0.0481,0.9852,1.1346,0.7263,checkpoint_0147.pth,0.0008260257668863755
0,148,0.0486,0.9834,1.3246,0.7287,checkpoint_0148.pth,0.000820337458393036
0,149,0.0675,0.9759,1.1874,0.7311,checkpoint_0149.pth,0.0008145779355287721
0,150,0.0679,0.9743,1.1507,0.7334,checkpoint_0150.pth,0.0008087484787038128
0,151,0.0549,0.9814,1.2991,0.7192,checkpoint_0151.pth,0.0008028503838755357
0,152,0.0482,0.985,1.2882,0.7208,checkpoint_0152.pth,0.0007968849622603604
0,153,0.0606,0.9784,1.1377,0.7192,checkpoint_0153.pth,0.0007908535400422496
0,154,0.0573,0.9792,1.4173,0.7129,checkpoint_0154.pth,0.000784757458077883
0,155,0.0674,0.978,1.2085,0.7382,checkpoint_0155.pth,0.0007785980715985681
0,156,0.0454,0.982,1.2779,0.7334,checkpoint_0156.pth,0.000772376749908957
0,157,0.0554,0.98,1.4425,0.7106,checkpoint_0157.pth,0.0007660948760826336
0,158,0.0504,0.9828,1.1311,0.7453,checkpoint_0158.pth,0.0007597538466546396
0,159,0.0547,0.9814,1.2263,0.7177,checkpoint_0159.pth,0.0007533550713110084
0,160,0.0478,0.9822,1.3603,0.7185,checkpoint_0160.pth,0.0007468999725753752
0,161,0.0507,0.9822,1.4981,0.7114,checkpoint_0161.pth,0.0007403899854927334
0,162,0.0619,0.979,1.3798,0.7074,checkpoint_0162.pth,0.0007338265573104066
0,163,0.042,0.9862,1.3923,0.724,checkpoint_0163.pth,0.0007272111471563086
0,164,0.0441,0.986,1.2743,0.735,checkpoint_0164.pth,0.0007205452257145618
0,165,0.0483,0.9824,1.1769,0.7405,checkpoint_0165.pth,0.000713830274898547
0,166,0.0506,0.9828,1.2325,0.7342,checkpoint_0166.pth,0.0007070677875214558
0,167,0.0628,0.9777,1.2434,0.7121,checkpoint_0167.pth,0.0007002592669644221
0,168,0.045,0.9842,1.2674,0.7177,checkpoint_0168.pth,0.0006934062268423001
0,169,0.0399,0.9867,1.3243,0.7153,checkpoint_0169.pth,0.0006865101906671726
0,170,0.0359,0.9889,1.2349,0.7311,checkpoint_0170.pth,0.0006795726915096538
